Age,NOC,Sport
25.0,URS,Athletics
29.0,URS,Volleyball
33.0,URS,Handball
27.0,URS,Volleyball
22.0,URS,Athletics
24.0,IND,Hockey
19.0,FRA,Cycling
25.0,AUS,Rowing
24.0,GBR,Judo
25.0,URS,Football
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
14.0,PRK,Gymnastics
14.0,PRK,Gymnastics
14.0,PRK,Gymnastics
14.0,PRK,Gymnastics
14.0,PRK,Gymnastics
14.0,PRK,Gymnastics
20.0,PRK,Weightlifting
14.0,PRK,Gymnastics
14.0,PRK,Gymnastics
14.0,PRK,Gymnastics
14.0,PRK,Gymnastics
14.0,PRK,Gymnastics
14.0,PRK,Gymnastics
34.0,IND,Shooting
27.0,GBR,Rowing
28.0,URS,Equestrianism
28.0,URS,Equestrianism
25.0,URS,Canoeing
25.0,URS,Canoeing
29.0,GDR,Athletics
30.0,GBR,Rowing
30.0,GBR,Rowing
24.0,GBR,Modern Pentathlon
24.0,GBR,Modern Pentathlon
21.0,GDR,Athletics
25.0,GBR,Rowing
24.0,GBR,Wrestling
23.0,FRA,Cycling
26.0,GBR,Rowing
23.0,GBR,Athletics
23.0,GBR,Athletics
26.0,GBR,Athletics
26.0,GBR,Athletics
27.0,ITA,Water Polo
22.0,GBR,Athletics
17.0,GBR,Swimming
28.0,FRA,Modern Pentathlon
28.0,FRA,Modern Pentathlon
19.0,GBR,Athletics
24.0,ITA,Modern Pentathlon
17.0,GBR,Swimming
17.0,GBR,Swimming
17.0,GBR,Swimming
17.0,GBR,Swimming
18.0,GBR,Rowing
23.0,GBR,Rowing
32.0,AUS,Basketball
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
29.0,HUN,Water Polo
25.0,HUN,Volleyball
24.0,HUN,Cycling
21.0,HUN,Equestrianism
21.0,HUN,Equestrianism
20.0,HUN,Boxing
23.0,HUN,Athletics
26.0,HUN,Handball
18.0,AUS,Swimming
18.0,AUS,Swimming
18.0,AUS,Swimming
18.0,AUS,Swimming
18.0,AUS,Swimming
28.0,GDR,Volleyball
29.0,ITA,Water Polo
18.0,GDR,Swimming
21.0,AUS,Basketball
26.0,ITA,Volleyball
21.0,ITA,Volleyball
21.0,ITA,Boxing
23.0,ITA,Athletics
23.0,ITA,Athletics
21.0,GDR,Shooting
19.0,GBR,Gymnastics
19.0,GBR,Gymnastics
19.0,GBR,Gymnastics
19.0,GBR,Gymnastics
19.0,GBR,Gymnastics
27.0,AUS,Rowing
23.0,URS,Football
24.0,AUS,Basketball
17.0,GBR,Swimming
17.0,GBR,Swimming
17.0,GBR,Swimming
20.0,JAM,Athletics
18.0,URS,Gymnastics
18.0,URS,Gymnastics
18.0,URS,Gymnastics
18.0,URS,Gymnastics
18.0,URS,Gymnastics
18.0,URS,Gymnastics
22.0,ITA,Cycling
23.0,AUS,Athletics
29.0,ITA,Water Polo
24.0,ITA,Cycling
20.0,FRA,Swimming
27.0,GDR,Rowing
16.0,FRA,Swimming
16.0,FRA,Swimming
16.0,FRA,Swimming
22.0,ITA,Rowing
28.0,ITA,Basketball
27.0,FRA,Judo
21.0,URS,Athletics
29.0,FRA,Athletics
29.0,FRA,Athletics
28.0,HUN,Canoeing
26.0,HUN,Fencing
26.0,HUN,Fencing
21.0,URS,Boxing
19.0,URS,Hockey
24.0,HUN,Cycling
21.0,URS,Basketball
25.0,FRA,Athletics
33.0,HUN,Sailing
33.0,HUN,Sailing
25.0,HUN,Boxing
26.0,IND,Wrestling
24.0,ITA,Volleyball
22.0,ITA,Rowing
25.0,ITA,Volleyball
30.0,GBR,Athletics
16.0,GDR,Swimming
16.0,GDR,Swimming
16.0,GDR,Swimming
16.0,GDR,Swimming
16.0,GDR,Swimming
25.0,GDR,Rowing
25.0,GDR,Rowing
24.0,URS,Athletics
26.0,IND,Basketball
29.0,POR,Weightlifting
25.0,GDR,Athletics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
35.0,URS,Rowing
22.0,GDR,Rowing
29.0,GDR,Handball
29.0,GDR,Rowing
21.0,HUN,Shooting
20.0,URS,Swimming
20.0,URS,Swimming
26.0,URS,Rowing
35.0,URS,Athletics
21.0,GDR,Athletics
26.0,HUN,Gymnastics
26.0,HUN,Gymnastics
26.0,HUN,Gymnastics
26.0,HUN,Gymnastics
26.0,HUN,Gymnastics
26.0,HUN,Gymnastics
26.0,HUN,Gymnastics
26.0,HUN,Gymnastics
29.0,GBR,Judo
17.0,AUS,Diving
17.0,AUS,Diving
35.0,AUS,Archery
23.0,ITA,Athletics
23.0,ITA,Athletics
26.0,URS,Volleyball
25.0,URS,Rowing
25.0,GBR,Cycling
22.0,GBR,Cycling
18.0,ITA,Basketball
27.0,GBR,Diving
28.0,GDR,Handball
27.0,GDR,Rowing
27.0,GDR,Athletics
27.0,GDR,Athletics
24.0,GDR,Cycling
24.0,GDR,Cycling
32.0,GBR,Weightlifting
19.0,IND,Hockey
23.0,FRA,Athletics
23.0,FRA,Athletics
24.0,URS,Athletics
24.0,GDR,Rowing
24.0,URS,Rowing
19.0,AUS,Archery
21.0,URS,Athletics
19.0,GBR,Wrestling
23.0,GDR,Rowing
19.0,GDR,Athletics
22.0,FRA,Athletics
24.0,GDR,Canoeing
21.0,FRA,Judo
28.0,URS,Athletics
19.0,HUN,Swimming
19.0,HUN,Swimming
19.0,HUN,Swimming
24.0,GDR,Athletics
25.0,GDR,Athletics
25.0,GDR,Athletics
23.0,FRA,Swimming
23.0,FRA,Swimming
23.0,HUN,Gymnastics
23.0,HUN,Gymnastics
23.0,HUN,Gymnastics
23.0,HUN,Gymnastics
23.0,HUN,Gymnastics
23.0,HUN,Gymnastics
26.0,IND,Weightlifting
19.0,GBR,Cycling
20.0,FRA,Athletics
14.0,URS,Diving
32.0,HUN,Volleyball
29.0,GDR,Sailing
24.0,AUS,Rowing
18.0,AUS,Swimming
18.0,AUS,Swimming
18.0,AUS,Swimming
23.0,ITA,Basketball
22.0,URS,Rowing
21.0,ITA,Fencing
26.0,AUS,Water Polo
28.0,GDR,Boxing
27.0,HUN,Water Polo
28.0,HUN,Wrestling
19.0,HUN,Boxing
28.0,AUS,Athletics
29.0,FRA,Cycling
21.0,URS,Swimming
21.0,URS,Swimming
24.0,URS,Athletics
28.0,URS,Handball
26.0,HUN,Wrestling
25.0,FRA,Athletics
